"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9"
"24661283","1283",730.00,115.00,1610.00,40.00,650.00,725.00,1135.00,965.00
"24661284","1284",115.00,10.00,125.00,0.00,200.00,10.00,170.00,85.00
"24661285","1285",290.00,15.00,265.00,5.00,220.00,25.00,110.00,150.00
"24661286","1286",210.00,10.00,200.00,5.00,195.00,40.00,150.00,155.00
"24661299","1299",,,,,30.00,135.00,190.00,30.00
"24661300","1300",10.00,45.00,270.00,0.00,40.00,195.00,260.00,65.00
"24661301","1301",20.00,95.00,500.00,0.00,45.00,315.00,335.00,200.00
"24661302","1302",0.00,105.00,440.00,5.00,40.00,230.00,355.00,110.00
"24661303","1303",30.00,115.00,430.00,5.00,45.00,190.00,345.00,95.00
"24661304","1304",55.00,45.00,195.00,5.00,40.00,125.00,165.00,75.00
"24661305","1305",85.00,110.00,220.00,15.00,40.00,120.00,85.00,245.00
"24661306","1306",65.00,135.00,235.00,10.00,40.00,125.00,165.00,255.00
"24661308","1308",95.00,270.00,420.00,25.00,85.00,235.00,280.00,500.00
"24661309","1309",40.00,120.00,120.00,15.00,45.00,95.00,90.00,185.00
"24661310","1310",35.00,105.00,155.00,10.00,30.00,85.00,115.00,205.00
"24661311","1311",95.00,125.00,230.00,10.00,20.00,160.00,150.00,290.00
"24661312","1312",75.00,115.00,210.00,45.00,25.00,75.00,90.00,245.00
"24661313","1313",160.00,120.00,285.00,30.00,130.00,105.00,220.00,365.00
"24661314","1314",240.00,195.00,295.00,50.00,145.00,160.00,215.00,535.00
"24661315","1315",205.00,165.00,260.00,25.00,200.00,90.00,225.00,415.00
"24661316","1316",320.00,175.00,340.00,35.00,265.00,175.00,215.00,630.00
"24661317","1317",105.00,120.00,250.00,15.00,75.00,95.00,175.00,220.00
"24661318","1318",125.00,30.00,125.00,5.00,70.00,75.00,45.00,175.00
"24661319","1319",215.00,100.00,215.00,25.00,120.00,50.00,185.00,330.00
"24661320","1320",265.00,95.00,300.00,25.00,190.00,85.00,240.00,370.00
"24661321","1321",190.00,90.00,175.00,25.00,125.00,70.00,120.00,335.00
"24661322","1322",100.00,105.00,245.00,10.00,110.00,115.00,150.00,335.00
"24661323","1323",120.00,190.00,370.00,10.00,120.00,230.00,255.00,435.00
"24661324","1324",35.00,60.00,320.00,10.00,55.00,155.00,175.00,190.00
"24661325","1325",35.00,80.00,220.00,5.00,45.00,90.00,115.00,200.00
"24661326","1326",35.00,75.00,175.00,15.00,65.00,95.00,120.00,140.00
"24661327","1327",50.00,85.00,315.00,15.00,60.00,145.00,150.00,300.00
"24661328","1328",140.00,165.00,520.00,25.00,105.00,190.00,190.00,365.00
"24661329","1329",135.00,105.00,400.00,15.00,115.00,170.00,230.00,375.00
"24661330","1330",110.00,110.00,270.00,10.00,130.00,130.00,195.00,265.00
"24661331","1331",45.00,75.00,215.00,5.00,65.00,95.00,145.00,140.00
"24661332","1332",110.00,115.00,355.00,25.00,75.00,215.00,200.00,275.00
"24661333","1333",85.00,90.00,285.00,30.00,125.00,75.00,180.00,330.00
"24661334","1334",30.00,30.00,50.00,0.00,10.00,30.00,55.00,45.00
"24661335","1335",70.00,105.00,300.00,20.00,55.00,130.00,130.00,280.00
"24661336","1336",35.00,95.00,480.00,5.00,85.00,275.00,275.00,200.00
"24661337","1337",5.00,75.00,395.00,5.00,35.00,215.00,325.00,135.00
"24661338","1338",25.00,80.00,390.00,5.00,35.00,270.00,225.00,135.00
"24661339","1339",80.00,230.00,650.00,20.00,110.00,435.00,420.00,390.00
"24661340","1340",205.00,100.00,375.00,25.00,125.00,150.00,325.00,285.00
