COL0,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10
24663000,3000,392,95,20,255,0,65,45,180,140
24663001,3001,364,95,20,245,5,65,45,140,250
24663002,3002,696,195,35,455,15,105,50,400,300
24663003,3003,1186,180,110,865,30,145,120,750,420
24663004,3004,424,65,40,310,10,40,45,295,170
24663005,3005,451,75,45,325,10,65,65,345,165
24663006,3006,439,100,35,300,5,90,55,255,195
24663007,3007,400,80,30,285,5,45,55,245,120
24663008,3008,471,95,25,345,5,35,65,290,170
24663009,3009,662,145,65,430,20,55,80,370,230
24663010,3010,336,80,60,190,10,90,40,205,160
24663011,3011,649,125,90,400,20,95,65,295,305
24663012,3012,483,80,55,325,10,70,55,270,215
24663013,3013,572,130,60,370,15,85,35,345,185
24663014,3014,629,130,85,405,10,70,70,385,205
24663015,3015,743,125,125,470,25,100,110,525,330
24663016,3016,370,95,35,225,10,70,45,160,255
24663017,3017,981,295,120,525,45,180,40,420,490
24663018,3018,626,215,40,340,30,95,40,335,295
24663019,3019,518,130,105,265,10,50,65,305,155
24663020,3020,1980,525,160,1225,60,375,210,955,890
24663021,3021,436,60,40,320,5,40,40,290,120
24663022,3022,394,80,30,280,5,85,50,305,100
24663023,3023,434,85,30,310,10,80,80,335,155
24663024,3024,374,65,60,245,10,30,30,235,125
24663025,3025,459,115,40,295,10,60,50,270,120
24663026,3026,689,210,70,380,25,125,100,355,375
24663027,3027,452,115,25,300,15,90,40,270,240
24663028,3028,699,160,50,475,15,100,50,375,305
24663029,3029,628,135,30,450,5,110,65,390,195
24663030,3030,1244,250,5,970,15,300,45,760,345
24663031,3031,430,105,15,300,5,75,30,265,190
24663032,3032,607,145,5,445,15,150,20,415,130
24663033,3033,1309,275,25,980,25,340,55,870,455
24663034,3034,1085,290,50,625,25,235,60,590,375
24663035,3035,619,160,40,405,10,80,60,340,210
24663036,3036,1932,410,185,1300,40,255,140,1030,785
24663037,3037,437,100,20,310,5,75,35,305,115
24663038,3038,536,170,40,315,10,110,65,385,170
24663039,3039,457,105,20,325,5,60,45,310,130
24663040,3040,482,95,10,370,5,45,15,360,155
24663041,3041,443,135,30,270,10,70,40,290,180
24663042,3042,335,70,20,240,5,75,25,220,85
24663043,3043,388,100,30,260,5,70,50,315,130
24663044,3044,447,120,40,280,5,70,45,200,215
24663045,3045,451,100,50,235,15,50,35,175,195
24663046,3046,652,120,105,325,10,95,75,395,135
24663047,3047,518,110,100,305,10,80,65,350,175
24663048,3048,1022,140,100,450,15,75,105,445,200
24663049,3049,988,220,80,660,30,190,115,600,420
24663050,3050,930,235,85,465,70,120,50,465,410
24663051,3051,780,205,90,455,20,110,35,425,245
24663052,3052,438,75,35,320,5,50,60,305,135
24663053,3053,1276,285,90,860,35,115,120,755,540
24663054,3054,646,95,70,405,5,95,115,370,220
24663055,3055,592,50,80,455,5,65,120,440,205
24663056,3056,540,45,65,425,0,55,80,390,135
24663057,3057,1598,205,115,1135,20,135,185,925,415
24663058,3058,1148,130,75,920,20,125,150,845,305
24663059,3059,511,45,55,395,10,110,35,390,170
24663060,3060,458,50,45,350,10,45,65,370,110
24663061,3061,508,40,50,415,5,40,70,400,130
24663062,3062,488,45,70,365,10,50,65,330,100
24663063,3063,428,30,85,310,0,55,50,360,80
24663064,3064,483,40,110,325,5,35,85,300,75
24663065,3065,455,60,95,300,0,25,60,320,70
24663066,3066,249,25,70,155,0,15,55,185,95
24663067,3067,528,65,105,355,5,35,145,355,125
24663068,3068,1237,190,150,870,25,140,180,840,370
24663069,3069,928,85,195,635,15,125,205,765,225
24663070,3070,460,40,110,305,0,25,50,365,120
24663071,3071,385,30,65,285,5,35,80,315,100
24663072,3072,471,55,45,365,10,65,75,330,160
24663073,3073,563,50,65,440,5,55,115,455,185
24663074,3074,1076,130,90,845,10,85,115,790,255
24663075,3075,530,65,65,385,10,55,115,440,125
24663076,3076,634,85,35,500,10,110,40,475,180
24663077,3077,1015,225,150,625,15,85,70,415,375
24663079,3079,391,95,30,255,15,85,75,255,145
24663080,3080,650,130,35,475,10,110,75,365,240
24663081,3081,442,65,25,350,5,105,45,345,105
24663082,3082,505,125,55,315,10,60,35,285,200
24663083,3083,351,70,35,245,0,65,25,265,90
24663084,3084,512,130,55,315,10,70,40,190,285
24663085,3085,590,120,65,390,20,105,45,290,260
24663086,3086,653,125,90,420,20,80,100,350,250
24663088,3088,856,130,55,660,10,190,55,585,275
24663089,3089,185,30,0,150,5,45,0,120,35
24663090,3090,664,130,10,515,10,110,30,505,120
24663091,3091,520,90,10,420,5,105,40,385,125
24663092,3092,427,80,10,330,5,60,10,355,90
24663094,3094,541,80,10,440,20,70,15,360,130
24663095,3095,1155,240,25,855,30,195,70,795,365
24663096,3096,837,185,15,635,5,185,45,595,205
24663097,3097,602,125,10,450,10,145,15,535,120
24663098,3098,258,65,0,190,5,70,15,225,80
24663099,3099,1115,200,10,790,35,185,65,710,265
24663100,3100,528,105,15,405,5,140,35,355,120
24663101,3101,423,80,5,340,0,60,15,330,80
24663102,3102,535,85,0,440,0,60,15,400,80
24663103,3103,528,120,15,375,10,75,35,395,165
24663104,3104,435,55,15,355,0,90,40,360,100
24663105,3105,620,110,20,485,5,115,55,515,120
24663106,3106,572,125,5,420,15,80,10,390,170
24663107,3107,653,160,15,455,5,85,60,395,180
24663108,3108,510,120,10,380,0,100,45,370,85
24663109,3109,552,145,20,380,10,145,35,295,165
24663110,3110,683,130,15,530,0,115,15,570,90
24663111,3111,617,125,10,485,0,85,25,435,160
24663112,3112,399,90,10,295,10,55,30,305,100
24663113,3113,513,145,5,365,5,85,45,290,185
24663114,3114,631,135,10,475,15,85,15,460,200
24663115,3115,501,120,5,380,0,120,10,385,120
24663116,3116,609,160,10,435,5,110,35,340,125
24663117,3117,494,120,10,365,0,100,20,375,100
24663118,3118,1095,145,50,900,0,205,75,830,215
24663119,3119,365,5,0,5,0,n/a,n/a,n/a,n/a
24663120,3120,531,120,35,375,0,130,60,415,100
24663121,3121,537,195,15,325,5,125,35,355,80
24663122,3122,726,210,40,480,0,210,40,530,140
24663123,3123,738,140,55,540,5,90,50,520,175
24663124,3124,478,80,15,380,0,120,30,400,85
24663125,3125,473,80,20,370,0,80,30,355,110
24663126,3126,588,90,25,475,0,140,20,480,135
24663127,3127,447,55,15,375,5,35,35,325,60
24663128,3128,459,105,30,325,0,95,50,355,100
24663129,3129,739,160,45,535,0,90,55,585,115
24663130,3130,456,85,10,360,0,95,45,415,65
24663131,3131,592,155,30,405,0,80,25,415,145
24663132,3132,575,120,10,425,0,55,20,415,155
24663133,3133,408,80,5,325,0,105,25,370,25
24663134,3134,705,155,10,535,5,180,30,530,185
24663135,3135,580,120,15,445,0,90,45,480,105
24663136,3136,286,60,15,210,0,20,30,180,50
24663137,3137,552,105,5,430,5,85,30,465,105
24663138,3138,1221,380,65,745,30,220,10,700,455
24663139,3139,907,250,45,600,10,185,55,500,385
24663140,3140,871,95,80,690,10,105,100,520,330
24663141,3141,873,185,95,545,50,110,45,435,360
24663142,3142,774,135,270,355,10,65,65,515,220
24663143,3143,472,125,125,220,5,85,40,240,65
24663144,3144,898,170,345,385,5,105,190,430,215
24663145,3145,639,70,170,395,5,80,145,405,120
